Region,Period Begin,Period End,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Price,months_of_supply,New Listings,Period Duration,Price Drops,Sold Above List
"Boston, MA",8/1/2012,8/31/2012,0.977589424,828,2010,92,389000,2.4,489,30,0.124378109,0.157004831
"Boston, MA",1/1/2016,1/31/2016,0.986486293,374,773,20,560000,2.1,503,30,0.179818887,0.288770053
"San Diego, CA",8/1/2013,8/31/2013,0.991780054,1628,3368,17,450000,2.1,1869,30,0.298693587,0.322679779
"Boston, MA",9/1/2012,9/30/2012,0.977535972,473,2085,95,437000,4.4,691,30,0.145323741,0.167372881
"Chicago, IL",12/1/2014,12/31/2014,0.970911712,2598,10706,73,179900,4.1,1855,30,0.148234635,0.210161663
"San Francisco, CA",3/1/2013,3/31/2013,1.069418659,525,593,14,829000,1.1,640,30,0.096121417,0.672380952
"Seattle, WA",6/1/2012,6/30/2012,0.992544101,932,2025,17,399000,2.2,1021,30,0.279012346,0.303648069
"Boston, MA",8/1/2014,8/31/2014,1.001517601,721,1657,68,479000,2.3,443,30,0.123717562,0.398058252
"Boston, MA",5/1/2012,5/31/2012,0.977087898,698,3132,83,409950,4.5,875,30,0.13761175,0.173352436
"Boston, MA",1/1/2018,1/31/2018,0.99049935,420,669,26,675000,1.6,419,30,0.155455904,0.288095238
"Boston, MA",3/1/2018,3/31/2018,1.011401873,439,743,12,737000,1.7,730,30,0.170928668,0.432801822
"San Diego, CA",11/1/2016,11/30/2016,0.979472261,1346,2243,26,545250,1.7,1052,30,0.227819884,0.190936107
"Boston, MA",5/1/2013,5/31/2013,0.999155102,708,2590,66,449950,3.7,995,30,0.101544402,0.384180791
"San Diego, CA",1/1/2018,1/31/2018,0.985449988,912,1718,25,629000,1.9,1405,30,0.215366705,0.251096491
"Chicago, IL",12/1/2012,12/31/2012,0.957523999,2327,11389,98,139900,4.9,1805,30,0.127491439,0.23291792
"San Jose, CA",3/1/2016,3/31/2016,1.041737653,676,986,15,799000,1.5,1041,30,0.126774848,0.75
"Boston, MA",2/1/2015,2/28/2015,0.981534079,269,1011,96,599450,3.8,382,30,0.074183976,0.234200743
"Washington, DC",9/1/2013,9/30/2013,0.997596976,629,1557,21,499900,2.5,1023,30,0.258188825,0.341812401
"Washington, DC",8/1/2014,8/31/2014,0.993659738,750,1453,19,420000,1.9,682,30,0.236751549,0.327540107
"San Francisco, CA",2/1/2016,2/29/2016,1.081616409,277,609,15,1189000,2.2,545,30,0.100164204,0.667870036
"San Diego, CA",6/1/2015,6/30/2015,0.982117902,1706,3226,22,508888,1.9,1937,30,0.260694358,0.208089097
"San Jose, CA",9/1/2013,9/30/2013,1.022659693,836,1276,15,599888,1.5,914,30,0.22492163,0.61722488
"Chicago, IL",7/1/2013,7/31/2013,0.988001912,3597,13038,65,229900,3.6,4197,30,0.180932658,0.321378927
"Los Angeles, CA",1/1/2013,1/31/2013,0.995082253,2058,4230,25,425000,2.1,2923,30,0.230969267,0.382896016
"Chicago, IL",3/1/2016,3/31/2016,0.980213927,2374,11748,79,289900,4.9,4829,30,0.165219612,0.268436578
"Boston, MA",5/1/2016,5/31/2016,1.00963219,599,973,9,599000,1.6,909,30,0.254881809,0.462437396
